name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
远见名苑,2室1厅,605,95.82平米,低楼层(共24层),2002年建塔楼
马甸南村,2室1厅,630,74.5平米,高楼层(共16层),1985年建塔楼
裕中西里,1室1厅,520,53.2平米,高楼层(共24层),1983年建板塔结合
双槐里,3室1厅,430,78.5平米,中楼层(共7层),1995年建板楼
新外大街28号院,2室1厅,737,73.7平米,低楼层(共8层),1999年建板塔结合
汽北小区,3室1厅,563,83.2平米,高楼层(共6层),1987年建板楼
阜成门外大街,2室1厅,670,115平米,高楼层(共4层),1996年建板楼
双旗杆东里,2室1厅,550,67.6平米,中楼层(共10层),1995年建板塔结合
平原里小区,2室1厅,350,63平米,高楼层(共9层),1999年建板塔结合
手帕口北街,2室1厅,330,57平米,低楼层(共6层),1999年建板楼
牛街东里,2室1厅,360,64.28平米,高楼层(共19层),1999年建塔楼
温馨家园,1室1厅,480,48.1平米,高楼层(共7层),1995年建板楼
远见国际公寓,2室1厅,500,97平米,高楼层(共26层),2004年建塔楼
考拉社区,1室1厅,260,58.52平米,高楼层(共21层),2002年建塔楼
车公庄北里,4室2厅,1600,257.8平米,高楼层(共6层),1999年建板楼
阳光丽景,2室2厅,940,103.31平米,低楼层(共18层),2003年建板塔结合
朗琴园,5室2厅,899,193.14平米,低楼层(共16层),2002年建板塔结合
馨莲茗园,1室1厅,355,67.45平米,低楼层(共25层),2001年建板塔结合
新外大街6号院,2室1厅,650,53平米,低楼层(共6层),1983年建板楼
荣丰2008,1室1厅,265,30.23平米,高楼层(共16层),2002年建板塔结合
乐城,1室1厅,260,43平米,中楼层(共24层),2002年建板塔结合
裕中东里,2室2厅,720,75.8平米,低楼层(共6层),1997年建板楼
荣丰2008,1室1厅,210,27平米,中楼层(共20层),2002年建塔楼
恬心家园,1室1厅,260,57.84平米,高楼层(共18层),2000年建板塔结合
六铺炕二区,3室0厅,659,88.4平米,低楼层(共4层),1958年建板楼
西派国际公寓,4室2厅,1950,302平米,低楼层(共17层),2005年建板塔结合
新风南里,3室0厅,635,86.6平米,中楼层(共7层),1990年建板楼
教场口9号院,2室1厅,500,75平米,低楼层(共21层),1992年建塔楼
右安门内西街1号院,3室1厅,720,129.5平米,中楼层(共6层),1998年建板楼
天桥北里,2室1厅,405,74.53平米,低楼层(共9层),2002年建板塔结合
荣丰2008,1室0厅,265,54平米,低楼层(共16层),2002年建板塔结合
天宁寺前街南里,2室1厅,435,78.13平米,高楼层(共6层),1991年建板楼
朗琴园,1室1厅,380,57.26平米,高楼层(共27层),2000年建塔楼
中信锦园,1室1厅,650,73.63平米,低楼层(共18层),2008年建板塔结合
荣丰2008,1室1厅,249,30.56平米,高楼层(共20层),2002年建塔楼
荣丰2008,1室1厅,250,34平米,中楼层(共20层),2002年建塔楼
白菜湾四巷17号院,2室0厅,345,54.25平米,中楼层(共6层),1988年建板楼
朗琴园,6室2厅,2800,394.45平米,高楼层(共29层),2002年建塔楼
车站西街9号院,2室1厅,520,79.22平米,低楼层(共6层),1995年建板楼
大井胡同,2室1厅,340,51.7平米,地下室(共6层),1987年建板楼
红居斜街,1室1厅,273,42.11平米,低楼层(共6层),1990年建板楼
